DBA,BUILDING,STREET,ZIPCODE,CUISINE DESCRIPTION,Latitude,Longitude,Emission_Level
AMSTERDAM CAFE,481,AMSTERDAM AVENUE,10024,American,40.785818505083,-73.976361573045,High
NICE MATIN,201,WEST   79 STREET,10024,French,40.783244357926,-73.978554358542,High
OSTERIA ACCADEMIA,646,AMSTERDAM AVENUE,10025,Italian,40.791150694982,-73.972491846104,High
LE PAIN QUOTIDIEN,60,WEST   65 STREET,10023,French,40.772460625103,-73.980850447594,High
CAFE EIGHTY TWO,2282,BROADWAY,10024,American,40.785958886677,-73.9783873687,High
NAYA,2339,BROADWAY,10024,Middle Eastern,40.7875643265,-73.977148196896,Medium
FAMOUS ORIGINAL RAY'S PIZZA,462,COLUMBUS AVENUE,10024,Pizza,40.784042130939,-73.973960871976,Low
SUMA SUSHI,964,AMSTERDAM AVENUE,10025,Chinese/Japanese,40.801328950729,-73.965065024806,Medium
COOL FRESH JUICE BAR,2661,BROADWAY,10025,"Juice, Smoothies, Fruit Salads",40.79797883963,-73.96936120543,Low
STARBUCKS,2140,BROADWAY,10023,Coffee/Tea,40.781175285326,-73.981245127655,Low
SHINY TEA,2667,BROADWAY,10025,Coffee/Tea,40.798127028051,-73.969256394882,Low
MAMA'S PIZZERIA,941,AMSTERDAM AVENUE,10025,Pizza,40.800549608118,-73.965614448432,Low
5 NAPKIN BURGER,2315,BROADWAY,10024,Hamburgers,40.786894717189,-73.977708161141,High
"FRIEDMAN'S WEST, PICK-A-BAGEL",35,WEST END AVENUE,10023,Sandwiches/Salads/Mixed Buffet,40.773021666129,-73.989432274959,Medium
THAI 72,128,WEST   72 STREET,10023,Thai,40.777917057655,-73.980029244558,Medium
HEX AND COMPANY,2911,BROADWAY,10025,American,40.806445154363,-73.965047880153,High
BAR BOULUD,1900,BROADWAY,10023,French,40.771511149198,-73.982150446461,High
ATLAS KITCHEN,258,WEST  109 STREET,10025,Chinese,40.803083132519,-73.966024910123,Medium
AU JUS UPPER WEST SIDE,2621,BROADWAY,10025,Barbecue,40.796686312536,-73.97031168428,Very High
THAI 72,128,WEST   72 STREET,10023,Thai,40.777917057655,-73.980029244558,Medium
COCO FRESH TEA & JUICE,124,WEST   72 STREET,10023,"Juice, Smoothies, Fruit Salads",40.777884107391,-73.979953429914,Low
METRO DINER,2641,BROADWAY,10025,American,40.797306507192,-73.969856325976,High
CIAO PAISAN,206,WEST   79 STREET,10024,Italian,40.783302031984,-73.978738500306,High
CAPITAL ONE CAFE COLUMBUS CIRCLE,1843,BROADWAY,10023,Coffee/Tea,40.769211038156,-73.982114963099,Low
BRUNCH,2210,BROADWAY,10024,American,40.783541084497,-73.98018643527,High
BEACON THEATRE,2124,BROADWAY,10023,American,40.7805577458,-73.981429455055,High
